skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

JavaScript,Intermediate,What is the difference between NodeList and HTMLCollection?,DOM,Collections,Types,A,NodeList: static/live nodes; HTMLCollection: live collection of elements.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/NodeList,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+hindi,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+kannada,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+tamil,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+telugu
JavaScript,Intermediate,What is the difference between console.log, console.dir, and console.table?,Debugging,Console,Methods,A,log(): general output; dir(): interactive listing; table(): tabular data.,Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console,https://youtube.com/results?search_query=javascript+console+log+dir+table,https://youtube.com/results?search_query=javascript+console+log+dir+table+hindi,https://youtube.com/results?search_query=javascript+console+log+dir+table+kannada,https://youtube.com/results?search_query=javascript+console+log+dir+table+tamil,https://youtube.com/results?search_query=javascript+console+log+dir+table+telugu
JavaScript,Intermediate,What is the difference between console.time and console.timeLog?,Debugging,Console,Timing,A,time(): starts timer; timeLog(): logs elapsed time; timeEnd(): stops timer.,Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console/time,https://youtube.com/results?search_query=javascript+console+time+timelog,https://youtube.com/results?search_query=javascript+console+time+timelog+hindi,https://youtube.com/results?search_query=javascript+console+time+timelog+kannada,https://youtube.com/results?search_query=javascript+console+time+timelog+tamil,https://youtube.com/results?search_query=javascript+console+time+timelog+telugu
JavaScript,Intermediate,What is the difference between console.assert and console.error?,Debugging,Console,Assertions,A,assert(): logs error if assertion false; error(): logs error always.,Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console/assert,https://youtube.com/results?search_query=javascript+console+assert+vs+error,https://youtube.com/results?search_query=javascript+console+assert+vs+error+hindi,https://youtube.com/results?search_query=javascript+console+assert+vs+error+kannada,https://youtube.com/results?search_query=javascript+console+assert+vs+error+tamil,https://youtube.com/results?search_query=javascript+console+assert+vs+error+telugu
JavaScript,Intermediate,What is the difference between console.group and console.groupCollapsed?,Debugging,Console,Grouping,A,group(): expanded group; groupCollapsed(): collapsed group.,Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console/group,https://youtube.com/results?search_query=javascript+console+group+vs+groupcollapsed,https://youtube.com/results?search_query=javascript+console+group+vs+groupcollapsed+hindi,https://youtube.com/results?search_query=javascript+console+group+vs+groupcollapsed+kannada,https://youtube.com/results?search_query=javascript+console+group+vs+groupcollapsed+tamil,https://youtube.com/results?search_query=javascript+console+group+vs+groupcollapsed+telugu
JavaScript,Intermediate,What is the difference between console.trace and console.log with stack trace?,Debugging,Console,Trace,A,trace(): logs stack trace; log(): simple message.,Debugging,https://developer.mozilla.org/en-US/docs/Web/API/Console/trace,https://youtube.com/results?search_query=javascript+console+trace+vs+log,https://youtube.com/results?search_query=javascript+console+trace+vs+log+hindi,https://youtube.com/results?search_query=javascript+console+trace+vs+log+kannada,https://youtube.com/results?search_query=javascript+console+trace+vs+log+tamil,https://youtube.com/results?search_query=javascript+console+trace+vs+log+telugu
JavaScript,Intermediate,What is the difference between debugger statement and console.debug?,Debugging,Debugger,Methods,A,debugger: pauses execution in debugger; console.debug(): logs debug message.,Debugging,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/debugger,https://youtube.com/results?search_query=javascript+debugger+vs+console+debug,https://youtube.com/results?search_query=javascript+debugger+vs+console+debug+hindi,https://youtube.com/results?search_query=javascript+debugger+vs+console+debug+kannada,https://youtube.com/results?search_query=javascript+debugger+vs+console+debug+tamil,https://youtube.com/results?search_query=javascript+debugger+vs+console+debug+telugu
JavaScript,Intermediate,What is the difference between performance.mark and performance.measure?,Web API,Performance,Measurement,A,mark(): creates timestamp; measure(): calculates duration between marks.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Performance/mark,https://youtube.com/results?search_query=javascript+performance+mark+measure,https://youtube.com/results?search_query=javascript+performance+mark+measure+hindi,https://youtube.com/results?search_query=javascript+performance+mark+measure+kannada,https://youtube.com/results?search_query=javascript+performance+mark+measure+tamil,https://youtube.com/results?search_query=javascript+performance+mark+measure+telugu
JavaScript,Intermediate,What is the difference between performance.memory and navigator.deviceMemory?,Web API,Performance,Memory,A,performance.memory: Chrome-specific memory info; navigator.deviceMemory: device memory in GB.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Performance/memory,https://youtube.com/results?search_query=javascript+performance+memory+vs+devicememory,https://youtube.com/results?search_query=javascript+performance+memory+vs+devicememory+hindi,https://youtube.com/results?search_query=javascript+performance+memory+vs+devicememory+kannada,https://youtube.com/results?search_query=javascript+performance+memory+vs+devicememory+tamil,https://youtube.com/results?search_query=javascript+performance+memory+vs+devicememory+telugu
JavaScript,Intermediate,What is the difference between navigator.userAgent and feature detection?,Web API,Browser detection,Feature detection,A,userAgent: browser string; feature detection: check for API availability.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Navigator/userAgent,https://youtube.com/results?search_query=javascript+useragent+vs+feature+detection,https://youtube.com/results?search_query=javascript+useragent+vs+feature+detection+hindi,https://youtube.com/results?search_query=javascript+useragent+vs+feature+detection+kannada,https://youtube.com/results?search_query=javascript+useragent+vs+feature+detection+tamil,https://youtube.com/results?search_query=javascript+useragent+vs+feature+detection+telugu
JavaScript,Intermediate,What is the difference between navigator.onLine and offline event?,Web API,Connectivity,Offline,A,navigator.onLine: current status; offline/online events: status change detection.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Navigator/onLine,https://youtube.com/results?search_query=javascript+navigator+online+vs+offline+event,https://youtube.com/results?search_query=javascript+navigator+online+vs+offline+event+hindi,https://youtube.com/results?search_query=javascript+navigator+online+vs+offline+event+kannada,https://youtube.com/results?search_query=javascript+navigator+online+vs+offline+event+tamil,https://youtube.com/results?search_query=javascript+navigator+online+vs+offline+event+telugu
JavaScript,Intermediate,What is the difference between navigator.geolocation and navigator.permissions?,Web API,Geolocation,Permissions,A,geolocation: location access; permissions: query permission status.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Navigator/geolocation,https://youtube.com/results?search_query=javascript+geolocation+vs+permissions,https://youtube.com/results?search_query=javascript+geolocation+vs+permissions+hindi,https://youtube.com/results?search_query=javascript+geolocation+vs+permissions+kannada,https://youtube.com/results?search_query=javascript+geolocation+vs+permissions+tamil,https://youtube.com/results?search_query=javascript+geolocation+vs+permissions+telugu
JavaScript,Intermediate,What is the difference between window.matchMedia and CSS media queries?,Web API,Responsive,Media queries,A,matchMedia(): JavaScript media query testing; CSS media queries: styling based on conditions.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/matchMedia,https://youtube.com/results?search_query=javascript+matchmedia+vs+css+media+queries,https://youtube.com/results?search_query=javascript+matchmedia+vs+css+media+queries+hindi,https://youtube.com/results?search_query=javascript+matchmedia+vs+css+media+queries+kannada,https://youtube.com/results?search_query=javascript+matchmedia+vs+css+media+queries+tamil,https://youtube.com/results?search_query=javascript+matchmedia+vs+css+media+queries+telugu
JavaScript,Intermediate,What is the difference between window.requestIdleCallback and setTimeout?,Web API,Performance,Idle,A,requestIdleCallback(): runs during browser idle periods; setTimeout(): runs after delay.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/requestIdleCallback,https://youtube.com/results?search_query=javascript+requestidlecallback+vs+settimeout,https://youtube.com/results?search_query=javascript+requestidlecallback+vs+settimeout+hindi,https://youtube.com/results?search_query=javascript+requestidlecallback+vs+settimeout+kannada,https://youtube.com/results?search_query=javascript+requestidlecallback+vs+settimeout+tamil,https://youtube.com/results?search_query=javascript+requestidlecallback+vs+settimeout+telugu
JavaScript,Intermediate,What is the difference between window.cancelIdleCallback and clearTimeout?,Web API,Performance,Cancellation,A,cancelIdleCallback(): cancels idle callback; clearTimeout(): cancels timeout.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/cancelIdleCallback,https://youtube.com/results?search_query=javascript+cancelidlecallback+vs+cleartimeout,https://youtube.com/results?search_query=javascript+cancelidlecallback+vs+cleartimeout+hindi,https://youtube.com/results?search_query=javascript+cancelidlecallback+vs+cleartimeout+kannada,https://youtube.com/results?search_query=javascript+cancelidlecallback+vs+cleartimeout+tamil,https://youtube.com/results?search_query=javascript+cancelidlecallback+vs+cleartimeout+telugu
JavaScript,Intermediate,What is the difference between window.queueMicrotask and Promise.resolve?,Web API,Microtasks,Queue,A,queueMicrotask(): explicit microtask; Promise.resolve().then(): microtask via promise.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/queueMicrotask,https://youtube.com/results?search_query=javascript+queuemicrotask+vs+promise+resolve,https://youtube.com/results?search_query=javascript+queuemicrotask+vs+promise+resolve+hindi,https://youtube.com/results?search_query=javascript+queuemicrotask+vs+promise+resolve+kannada,https://youtube.com/results?search_query=javascript+queuemicrotask+vs+promise+resolve+tamil,https://youtube.com/results?search_query=javascript+queuemicrotask+vs+promise+resolve+telugu
JavaScript,Intermediate,What is the difference between window.atob and window.btoa?,Web API,Encoding,Base64,A,atob(): decodes base64; btoa(): encodes to base64.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/WindowOrWorkerGlobalScope/atob,https://youtube.com/results?search_query=javascript+atob+vs+btoa,https://youtube.com/results?search_query=javascript+atob+vs+btoa+hindi,https://youtube.com/results?search_query=javascript+atob+vs+btoa+kannada,https://youtube.com/results?search_query=javascript+atob+vs+btoa+tamil,https://youtube.com/results?search_query=javascript+atob+vs+btoa+telugu
JavaScript,Intermediate,What is the difference between window.encodeURI and window.encodeURIComponent?,Web API,Encoding,URL,A,encodeURI(): encodes full URI; encodeURIComponent(): encodes URI component.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/encodeURI,https://youtube.com/results?search_query=javascript+encodeuri+vs+encodeuricomponent,https://youtube.com/results?search_query=javascript+encodeuri+vs+encodeuricomponent+hindi,https://youtube.com/results?search_query=javascript+encodeuri+vs+encodeuricomponent+kannada,https://youtube.com/results?search_query=javascript+encodeuri+vs+encodeuricomponent+tamil,https://youtube.com/results?search_query=javascript+encodeuri+vs+encodeuricomponent+telugu
JavaScript,Intermediate,What is the difference between window.decodeURI and window.decodeURIComponent?,Web API,Decoding,URL,A,decodeURI(): decodes full URI; decodeURIComponent(): decodes URI component.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/decodeURI,https://youtube.com/results?search_query=javascript+decodeuri+vs+decodeuricomponent,https://youtube.com/results?search_query=javascript+decodeuri+vs+decodeuricomponent+hindi,https://youtube.com/results?search_query=javascript+decodeuri+vs+decodeuricomponent+kannada,https://youtube.com/results?search_query=javascript+decodeuri+vs+decodeuricomponent+tamil,https://youtube.com/results?search_query=javascript+decodeuri+vs+decodeuricomponent+telugu
JavaScript,Intermediate,What is the difference between window.escape and window.encodeURIComponent?,Web API,Encoding,Legacy,A,escape(): legacy, encodes less characters; encodeURIComponent(): modern, encodes more.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/escape,https://youtube.com/results?search_query=javascript+escape+vs+encodeuricomponent,https://youtube.com/results?search_query=javascript+escape+vs+encodeuricomponent+hindi,https://youtube.com/results?search_query=javascript+escape+vs+encodeuricomponent+kannada,https://youtube.com/results?search_query=javascript+escape+vs+encodeuricomponent+tamil,https://youtube.com/results?search_query=javascript+escape+vs+encodeuricomponent+telugu
JavaScript,Intermediate,What is the difference between window.unescape and window.decodeURIComponent?,Web API,Decoding,Legacy,A,unescape(): legacy decoding; decodeURIComponent(): modern decoding.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/unescape,https://youtube.com/results?search_query=javascript+unescape+vs+decodeuricomponent,https://youtube.com/results?search_query=javascript+unescape+vs+decodeuricomponent+hindi,https://youtube.com/results?search_query=javascript+unescape+vs+decodeuricomponent+kannada,https://youtube.com/results?search_query=javascript+unescape+vs+decodeuricomponent+tamil,https://youtube.com/results?search_query=javascript+unescape+vs+decodeuricomponent+telugu
JavaScript,Intermediate,What is the difference between window.setImmediate and window.postMessage?,Web API,Communication,Async,A,setImmediate(): Node.js only; postMessage(): cross-window/document communication.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/postMessage,https://youtube.com/results?search_query=javascript+setimmediate+vs+postmessage,https://youtube.com/results?search_query=javascript+setimmediate+vs+postmessage+hindi,https://youtube.com/results?search_query=javascript+setimmediate+vs+postmessage+kannada,https://youtube.com/results?search_query=javascript+setimmediate+vs+postmessage+tamil,https://youtube.com/results?search_query=javascript+setimmediate+vs+postmessage+telugu
JavaScript,Intermediate,What is the difference between window.Blob and window.File?,Web API,Files,Blobs,A,Blob: raw data; File: extends Blob with name and lastModified.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Blob,https://youtube.com/results?search_query=javascript+blob+vs+file,https://youtube.com/results?search_query=javascript+blob+vs+file+hindi,https://youtube.com/results?search_query=javascript+blob+vs+file+kannada,https://youtube.com/results?search_query=javascript+blob+vs+file+tamil,https://youtube.com/results?search_query=javascript+blob+vs+file+telugu
JavaScript,Intermediate,What is the difference between window.URL.createObjectURL and window.URL.revokeObjectURL?,Web API,URL,Blobs,A,createObjectURL(): creates URL for blob; revokeObjectURL(): releases URL.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/URL/createObjectURL,https://youtube.com/results?search_query=javascript+createobjecturl+vs+revokeobjecturl,https://youtube.com/results?search_query=javascript+createobjecturl+vs+revokeobjecturl+hindi,https://youtube.com/results?search_query=javascript+createobjecturl+vs+revokeobjecturl+kannada,https://youtube.com/results?search_query=javascript+createobjecturl+vs+revokeobjecturl+tamil,https://youtube.com/results?search_query=javascript+createobjecturl+vs+revokeobjecturl+telugu
JavaScript,Intermediate,What is the difference between window.URLSearchParams and parsing query strings manually?,Web API,URL,Query strings,A,URLSearchParams: built-in API for query string manipulation; manual parsing: error-prone.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/URLSearchParams,https://youtube.com/results?search_query=javascript+urlsearchparams+vs+manual+parsing,https://youtube.com/results?search_query=javascript+urlsearchparams+vs+manual+parsing+hindi,https://youtube.com/results?search_query=javascript+urlsearchparams+vs+manual+parsing+kannada,https://youtube.com/results?search_query=javascript+urlsearchparams+vs+manual+parsing+tamil,https://youtube.com/results?search_query=javascript+urlsearchparams+vs+manual+parsing+telugu
JavaScript,Intermediate,What is the difference between window.crypto.getRandomValues and Math.random?,Web API,Crypto,Random,A,getRandomValues(): cryptographically secure; Math.random(): not cryptographically secure.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Crypto/getRandomValues,https://youtube.com/results?search_query=javascript+getrandomvalues+vs+math+random,https://youtube.com/results?search_query=javascript+getrandomvalues+vs+math+random+hindi,https://youtube.com/results?search_query=javascript+getrandomvalues+vs+math+random+kannada,https://youtube.com/results?search_query=javascript+getrandomvalues+vs+math+random+tamil,https://youtube.com/results?search_query=javascript+getrandomvalues+vs+math+random+telugu
JavaScript,Intermediate,What is the difference between window.crypto.subtle and window.crypto?,Web API,Crypto,Subtle,A,crypto.subtle: low-level cryptographic operations; crypto: basic random values.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/SubtleCrypto,https://youtube.com/results?search_query=javascript+crypto+subtle+vs+crypto,https://youtube.com/results?search_query=javascript+crypto+subtle+vs+crypto+hindi,https://youtube.com/results?search_query=javascript+crypto+subtle+vs+crypto+kannada,https://youtube.com/results?search_query=javascript+crypto+subtle+vs+crypto+tamil,https://youtube.com/results?search_query=javascript+crypto+subtle+vs+crypto+telugu
JavaScript,Intermediate,What is the difference between window.alert and window.confirm?,Web API,Dialogs,User interaction,A,alert(): shows message; confirm(): shows message with OK/Cancel.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/alert,https://youtube.com/results?search_query=javascript+alert+vs+confirm,https://youtube.com/results?search_query=javascript+alert+vs+confirm+hindi,https://youtube.com/results?search_query=javascript+alert+vs+confirm+kannada,https://youtube.com/results?search_query=javascript+alert+vs+confirm+tamil,https://youtube.com/results?search_query=javascript+alert+vs+confirm+telugu
JavaScript,Intermediate,What is the difference between window.prompt and window.confirm?,Web API,Dialogs,Input,A,prompt(): shows input dialog; confirm(): shows confirmation dialog.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/prompt,https://youtube.com/results?search_query=javascript+prompt+vs+confirm,https://youtube.com/results?search_query=javascript+prompt+vs+confirm+hindi,https://youtube.com/results?search_query=javascript+prompt+vs+confirm+kannada,https://youtube.com/results?search_query=javascript+prompt+vs+confirm+tamil,https://youtube.com/results?search_query=javascript+prompt+vs+confirm+telugu
JavaScript,Intermediate,What is the difference between window.print and window.open for printing?,Web API,Printing,Methods,A,print(): opens print dialog; open(): opens new window that can be printed.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/print,https://youtube.com/results?search_query=javascript+print+vs+open+printing,https://youtube.com/results?search_query=javascript+print+vs+open+printing+hindi,https://youtube.com/results?search_query=javascript+print+vs+open+printing+kannada,https://youtube.com/results?search_query=javascript+print+vs+open+printing+tamil,https://youtube.com/results?search_query=javascript+print+vs+open+printing+telugu
JavaScript,Intermediate,What is the difference between window.focus and window.blur?,Web API,Window,Focus,A,focus(): brings window to front; blur(): removes focus from window.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/focus,https://youtube.com/results?search_query=javascript+window+focus+vs+blur,https://youtube.com/results?search_query=javascript+window+focus+vs+blur+hindi,https://youtube.com/results?search_query=javascript+window+focus+vs+blur+kannada,https://youtube.com/results?search_query=javascript+window+focus+vs+blur+tamil,https://youtube.com/results?search_query=javascript+window+focus+vs+blur+telugu
JavaScript,Intermediate,What is the difference between window.close and window.stop?,Web API,Window,Control,A,close(): closes window; stop(): stops loading.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/close,https://youtube.com/results?search_query=javascript+window+close+vs+stop,https://youtube.com/results?search_query=javascript+window+close+vs+stop+hindi,https://youtube.com/results?search_query=javascript+window+close+vs+stop+kannada,https://youtube.com/results?search_query=javascript+window+close+vs+stop+tamil,https://youtube.com/results?search_query=javascript+window+close+vs+stop+telugu
