skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
HTML,BASIC,Multiple Choice,"Which element defines section?",<section>,<div>,<part>,<segment>,<section>,"<section> defines a section in a document."
HTML,BASIC,Multiple Choice,"What does <aside> contain?",Side content,Additional content,Marginal notes,Sidebar content,Side content,"<aside> defines content aside from main content."
HTML,BASIC,Multiple Choice,"Which element defines address?",<address>,<contact>,<location>,<place>,<address>,"<address> defines contact information."
HTML,BASIC,Multiple Choice,"What does <time> define?",Time period,Specific time,Date and time,Time element,Specific time,"<time> defines a specific time or datetime."
HTML,BASIC,Multiple Choice,"Which element marks text?",<mark>,<highlight>,<strong>,<em>,<mark>,"<mark> highlights or marks text."
HTML,BASIC,Multiple Choice,"What does <progress> show?",Progress bar,Task progress,Loading progress,File progress,Task progress,"<progress> shows progress of a task."
HTML,BASIC,Multiple Choice,"Which element shows measurement?",<meter>,<measure>,<gauge>,<value>,<meter>,"<meter> shows a scalar measurement within range."
HTML,BASIC,Multiple Choice,"What does <output> represent?",Calculation output,Result output,Data output,Form output,Calculation output,"<output> represents result of calculation."
HTML,BASIC,Multiple Choice,"Which element creates dialog?",<dialog>,<popup>,<modal>,<window>,<dialog>,"<dialog> creates a dialog box or window."
HTML,BASIC,Multiple Choice,"What does <template> hold?",Template content,Reusable content,Pattern content,Model content,Reusable content,"<template> holds client-side template content."
HTML,BASIC,Multiple Choice,"Which element defines slot?",<slot>,<placeholder>,<insert>,<content>,<slot>,"<slot> defines placeholder in web component."
HTML,BASIC,Multiple Choice,"What does <ruby> define?",Ruby annotation,Small text,Footnote,Ruby text,Ruby annotation,"<ruby> defines ruby annotations for East Asian typography."
HTML,BASIC,Multiple Choice,"Which element defines ruby text?",<rt>,<rubytext>,<annotation>,<text>,<rt>,"<rt> defines explanation of ruby text."
HTML,BASIC,Multiple Choice,"What does <rp> provide?",Ruby parentheses,Fallback text,Parenthesis,Ruby pair,Ruby parentheses,"<rp> provides fallback for ruby annotations."
HTML,BASIC,Multiple Choice,"Which element isolates bidirectional text?",<bdi>,<bidirectional>,<direction>,<isolate>,<bdi>,"<bdi> isolates bidirectional text formatting."
HTML,BASIC,Multiple Choice,"What does <bdo> override?",Text direction,Text alignment,Text style,Text format,Text direction,"<bdo> overrides current text direction."
HTML,BASIC,Multiple Choice,"Which element defines variable?",<var>,<variable>,<math>,<code>,<var>,"<var> defines a variable in programming context."
HTML,BASIC,Multiple Choice,"What does <samp> represent?",Sample output,Code sample,Example text,Test sample,Sample output,"<samp> represents sample output from program."
HTML,BASIC,Multiple Choice,"Which element defines keyboard input?",<kbd>,<keyboard>,<input>,<key>,<kbd>,"<kbd> defines keyboard input."
HTML,BASIC,Multiple Choice,"What does <code> define?",Computer code,Programming code,Source code,HTML code,Computer code,"<code> defines a piece of computer code."
HTML,BASIC,Multiple Choice,"Which element defines preformatted text?",<pre>,<preformatted>,<text>,<code>,<pre>,"<pre> defines preformatted text preserving spaces."
HTML,BASIC,Multiple Choice,"What does <q> create?",Short quotation,Inline quote,Quick quote,Quote text,Inline quote,"<q> defines a short inline quotation."
HTML,BASIC,Multiple Choice,"Which element defines abbreviation?",<abbr>,<abbreviation>,<short>,<acronym>,<abbr>,"<abbr> defines abbreviation or acronym."
HTML,BASIC,Multiple Choice,"What does <cite> define?",Citation,Reference,Source,Title,Citation,"<cite> defines title of creative work."
HTML,BASIC,Multiple Choice,"Which element defines definition?",<dfn>,<definition>,<term>,<explain>,<dfn>,"<dfn> represents defining instance of term."
HTML,BASIC,Multiple Choice,"What does <ins> represent?",Inserted text,Added text,New text,Updated text,Inserted text,"<ins> represents text inserted into document."
HTML,BASIC,Multiple Choice,"Which element defines deleted text?",<del>,<delete>,<removed>,<strike>,<del>,"<del> represents text deleted from document."
HTML,BASIC,Multiple Choice,"What does <s> indicate?",Struck-through text,Small text,Secondary text,Styled text,Struck-through text,"<s> indicates text no longer correct/relevant."
HTML,BASIC,Multiple Choice,"Which element underlines text?",<u>,<underline>,<ins>,<mark>,<u>,"<u> defines text styled differently (underlined)."
HTML,BASIC,Multiple Choice,"What does <small> define?",Smaller text,Tiny text,Minor text,Lesser text,Smaller text,"<small> defines smaller text (fine print)."
HTML,BASIC,Multiple Choice,"Which element creates subscript?",<sub>,<subscript>,<low>,<below>,<sub>,"<sub> defines subscript text."
HTML,BASIC,Multiple Choice,"What does <sup> create?",Superscript text,Superior text,Above text,High text,Superscript text,"<sup> defines superscript text."
HTML,BASIC,Multiple Choice,"Which element defines word break?",<wbr>,<wordbreak>,<break>,<split>,<wbr>,"<wbr> suggests line break opportunity."
HTML,BASIC,Multiple Choice,"What does charset attribute specify?",Character encoding,Character set,Text encoding,Document encoding,Character encoding,"charset specifies character encoding for document."
HTML,BASIC,Multiple Choice,"Which attribute specifies language?",lang,language,locale,country,lang,"lang specifies language of element's content."
HTML,BASIC,Multiple Choice,"What does dir attribute specify?",Text direction,Directive,Directory,Alignment,Text direction,"dir specifies text direction (ltr/rtl)."
HTML,BASIC,Multiple Choice,"Which attribute provides title?",title,name,caption,heading,title,"title provides advisory information about element."
HTML,BASIC,Multiple Choice,"What does id attribute specify?",Unique identifier,Identification,Name,Label,Unique identifier,"id specifies unique id for element."
HTML,BASIC,Multiple Choice,"Which attribute defines classes?",class,className,type,group,class,"class specifies one or more class names."
HTML,BASIC,Multiple Choice,"What does style attribute specify?",Inline styles,CSS styles,Element styles,Format styles,Inline styles,"style specifies inline CSS styles."
HTML,BASIC,Multiple Choice,"Which attribute specifies tab order?",tabindex,taborder,order,sequence,tabindex,"tabindex specifies tab order of element."
HTML,BASIC,Multiple Choice,"What does contenteditable do?",Makes content editable,Edits content,Allows editing,Enables changes,Makes content editable,"contenteditable makes element content editable."
HTML,BASIC,Multiple Choice,"Which attribute hides element?",hidden,visible,show,display,hidden,"hidden hides element from view."
HTML,BASIC,Multiple Choice,"What does draggable enable?",Drag and drop,Dragging capability,Movable element,Drag feature,Drag and drop,"draggable makes element draggable."
HTML,BASIC,Multiple Choice,"Which attribute specifies context menu?",contextmenu,menu,rightclick,popup,contextmenu,"contextmenu specifies context menu for element."
HTML,BASIC,Multiple Choice,"What does spellcheck enable?",Spell checking,Spell correction,Text checking,Grammar checking,Spell checking,"spellcheck enables spell checking for element."
HTML,BASIC,Multiple Choice,"Which attribute specifies image source?",src,source,img,image,src,"src specifies image source URL."
HTML,BASIC,Multiple Choice,"What does alt attribute provide?",Alternative text,Alt description,Image text,Description,Alternative text,"alt provides alternative text for images."
HTML,BASIC,Multiple Choice,"Which attribute specifies image width?",width,w,size,length,width,"width specifies image width in pixels."
HTML,BASIC,Multiple Choice,"What does height specify?",Image height,Element height,Content height,Vertical height,Image height,"height specifies image height in pixels."
HTML,BASIC,Multiple Choice,"Which attribute specifies link URL?",href,link,url,address,href,"href specifies hyperlink destination URL."
HTML,BASIC,Multiple Choice,"What does rel attribute specify?",Relationship,Relation,Link type,Connection,Relationship,"rel specifies relationship between documents."
HTML,BASIC,Multiple Choice,"Which attribute specifies input type?",type,kind,inputtype,format,type,"type specifies input element type."
HTML,BASIC,Multiple Choice,"What does value attribute specify?",Input value,Element value,Content value,Data value,Input value,"value specifies initial value for input."
HTML,BASIC,Multiple Choice,"Which attribute provides placeholder?",placeholder,hint,text,example,placeholder,"placeholder provides hint about expected value."
HTML,BASIC,Multiple Choice,"What does required specify?",Mandatory field,Required input,Necessary field,Essential input,Mandatory field,"required makes input field mandatory."
HTML,BASIC,Multiple Choice,"Which attribute specifies size?",size,length,width,dimension,size,"size specifies visible width of input."
HTML,BASIC,Multiple Choice,"What does maxlength specify?",Maximum characters,Max length,Character limit,Text limit,Maximum characters,"maxlength specifies maximum number of characters."
HTML,BASIC,Multiple Choice,"Which attribute specifies minimum length?",minlength,minimum,least,smallest,minlength,"minlength specifies minimum number of characters."
HTML,BASIC,Multiple Choice,"What does multiple allow?",Multiple selections,Multiple values,Many choices,Several inputs,Multiple selections,"multiple allows multiple selections/values."
HTML,BASIC,Multiple Choice,"Which attribute specifies form?",form,formid,formname,formlink,form,"form specifies which form element belongs to."
HTML,BASIC,Multiple Choice,"What does formaction specify?",Form submission URL,Form action,Submit URL,Process URL,Form submission URL,"formaction overrides form's action attribute."
HTML,BASIC,Multiple Choice,"Which attribute specifies form method?",formmethod,method,way,process,formmethod,"formmethod overrides form's method attribute."
HTML,BASIC,Multiple Choice,"What does formenctype specify?",Form encoding type,Encoding format,Data encoding,Content encoding,Form encoding type,"formenctype overrides form's enctype."
HTML,BASIC,Multiple Choice,"Which attribute prevents validation?",formnovalidate,novalidate,validate,check,formnovalidate,"formnovalidate prevents validation for element."
HTML,BASIC,Multiple Choice,"What does formtarget specify?",Response target,Result target,Output target,Display target,Response target,"formtarget specifies where to display response."
HTML,BASIC,Multiple Choice,"Which attribute references datalist?",list,datalist,options,choices,list,"list references <datalist> with predefined options."
HTML,BASIC,Multiple Choice,"What does accept specify?",Accepted file types,File accept,Type accept,Format accept,Accepted file types,"accept specifies file types for file input."
HTML,BASIC,Multiple Choice,"Which attribute captures input?",capture,camera,microphone,media,capture,"capture specifies media capture method."
HTML,BASIC,Multiple Choice,"What does dirname specify?",Direction name,Direction field,Text direction,Input direction,Direction name,"dirname specifies direction of input will be submitted."
HTML,BASIC,Multiple Choice,"Which attribute specifies rows?",rows,lines,height,textrows,rows,"rows specifies visible number of lines in textarea."
HTML,BASIC,Multiple Choice,"What does cols specify?",Columns,Width,Text columns,Character width,Columns,"cols specifies visible width of textarea."
HTML,BASIC,Multiple Choice,"Which attribute specifies wrap?",wrap,linewrap,break,textwrap,wrap,"wrap specifies how text wraps in textarea."
HTML,BASIC,Multiple Choice,"What does for attribute do?",Binds label to element,For element,References element,Targets element,Binds label to element,"for binds <label> to form element."
HTML,BASIC,Multiple Choice,"Which attribute specifies action?",action,submit,process,handle,action,"action specifies where to send form data."
HTML,BASIC,Multiple Choice,"What does method specify?",HTTP method,Form method,Submission method,Data method,HTTP method,"method specifies HTTP method for form submission."
HTML,BASIC,Multiple Choice,"Which attribute specifies enctype?",enctype,encoding,type,format,enctype,"enctype specifies encoding type for form data."
HTML,BASIC,Multiple Choice,"What does target specify in forms?",Response target,Result location,Output window,Display location,Response target,"target specifies where to display response."
HTML,BASIC,Multiple Choice,"Which attribute accepts charset?",accept-charset,charset,encoding,character,accept-charset,"accept-charset specifies character encodings."
HTML,BASIC,Multiple Choice,"What does autocomplete do in forms?",Enables form autocomplete,Auto-fills form,Completes form,Fills form,Enables form autocomplete,"autocomplete enables browser autocomplete for form."
HTML,BASIC,Multiple Choice,"Which attribute specifies name in forms?",name,id,identifier,title,name,"name specifies name of form."
HTML,BASIC,Multiple Choice,"What does onsubmit specify?",Submit handler,Submission script,Form submit,Submit action,Submit handler,"onsubmit specifies script to run on form submit."
HTML,BASIC,Multiple Choice,"Which attribute specifies onreset?",onreset,reset,clear,erase,onreset,"onreset specifies script to run on form reset."
HTML,BASIC,Multiple Choice,"What does onchange handle?",Change event,Value change,Input change,Element change,Change event,"onchange handles change events."
HTML,BASIC,Multiple Choice,"Which attribute handles input?",oninput,input,enter,type,oninput,"oninput handles input events."
HTML,BASIC,Multiple Choice,"What does oninvalid handle?",Invalid event,Validation error,Invalid input,Error event,Invalid event,"oninvalid handles invalid input events."
HTML,BASIC,Multiple Choice,"Which attribute handles search?",onsearch,search,find,look,onsearch,"onsearch handles search events."
HTML,BASIC,Multiple Choice,"What does onselect handle?",Selection event,Text selection,Element selection,Choose event,Selection event,"onselect handles text selection events."
HTML,BASIC,Multiple Choice,"Which attribute handles blur?",onblur,blur,losefocus,out,onblur,"onblur handles blur (loss of focus) events."
HTML,BASIC,Multiple Choice,"What does onfocus handle?",Focus event,Gain focus,Element focus,Get focus,Focus event,"onfocus handles focus events."
HTML,BASIC,Multiple Choice,"Which attribute handles load?",onload,load,ready,loaded,onload,"onload handles load events."
HTML,BASIC,Multiple Choice,"What does onunload handle?",Unload event,Page unload,Document close,Exit event,Unload event,"onunload handles unload events."
HTML,BASIC,Multiple Choice,"Which attribute handles beforeunload?",onbeforeunload,beforeunload,beforeclose,preexit,onbeforeunload,"onbeforeunload handles before unload events."
HTML,BASIC,Multiple Choice,"What does onerror handle?",Error event,Mistake event,Failure event,Problem event,Error event,"onerror handles error events."
HTML,BASIC,Multiple Choice,"Which attribute handles resize?",onresize,resize,size,change,onresize,"onresize handles resize events."
HTML,BASIC,Multiple Choice,"What does onscroll handle?",Scroll event,Scrolling,Navigation,Movement,Scroll event,"onscroll handles scroll events."
HTML,BASIC,Multiple Choice,"Which attribute handles wheel?",onwheel,wheel,scroll,mousewheel,onwheel,"onwheel handles mouse wheel events."
HTML,BASIC,Multiple Choice,"What does oncopy handle?",Copy event,Text copy,Content copy,Duplicate event,Copy event,"oncopy handles copy events."
HTML,BASIC,Multiple Choice,"Which attribute handles cut?",oncut,cut,remove,delete,oncut,"oncut handles cut events."
HTML,BASIC,Multiple Choice,"What does onpaste handle?",Paste event,Content paste,Insert event,Add event,Paste event,"onpaste handles paste events."
HTML,BASIC,Multiple Choice,"Which attribute handles abort?",onabort,abort,cancel,stop,onabort,"onabort handles abort events."
HTML,BASIC,Multiple Choice,"What does oncanplay handle?",Can play event,Playable event,Ready event,Start event,Can play event,"oncanplay handles when media can start playing."
HTML,BASIC,Multiple Choice,"Which attribute handles cue change?",oncuechange,cuechange,subtitlechange,captionchange,oncuechange,"oncuechange handles cue change events."
HTML,BASIC,Multiple Choice,"What does ondurationchange handle?",Duration change,Length change,Time change,Media change,Duration change,"ondurationchange handles duration change events."
HTML,BASIC,Multiple Choice,"Which attribute handles emptied?",onemptied,emptied,empty,cleared,onemptied,"onemptied handles when media becomes empty."
HTML,BASIC,Multiple Choice,"What does onended handle?",End event,Media end,Finish event,Complete event,End event,"onended handles when media ends."
HTML,BASIC,Multiple Choice,"Which attribute handles loaded data?",onloadeddata,loadeddata,data,ready,onloadeddata,"onloadeddata handles when media data loads."
HTML,BASIC,Multiple Choice,"What does onloadedmetadata handle?",Metadata loaded,Meta data,Info loaded,Details loaded,Metadata loaded,"onloadedmetadata handles when metadata loads."
HTML,BASIC,Multiple Choice,"Which attribute handles load start?",onloadstart,loadstart,start,begin,onloadstart,"onloadstart handles when loading starts."
HTML,BASIC,Multiple Choice,"What does onpause handle?",Pause event,Media pause,Stop event,Halt event,Pause event,"onpause handles pause events."
HTML,BASIC,Multiple Choice,"Which attribute handles play?",onplay,play,start,begin,onplay,"onplay handles play events."
HTML,BASIC,Multiple Choice,"What does onplaying handle?",Playing event,Media playing,Running event,Active event,Playing event,"onplaying handles playing events."
HTML,BASIC,Multiple Choice,"Which attribute handles progress?",onprogress,progress,loading,downloading,onprogress,"onprogress handles progress events."
HTML,BASIC,Multiple Choice,"What does onratechange handle?",Rate change,Speed change,Playback change,Tempo change,Rate change,"onratechange handles playback rate changes."
HTML,BASIC,Multiple Choice,"Which attribute handles seeked?",onseeked,seeked,search,done,onseeked,"onseeked handles when seeking completes."
HTML,BASIC,Multiple Choice,"What does onseeking handle?",Seeking event,Search event,Look event,Find event,Seeking event,"onseeking handles seeking events."
HTML,BASIC,Multiple Choice,"Which attribute handles stalled?",onstalled,stalled,stuck,stopped,onstalled,"onstalled handles stalled events."
HTML,BASIC,Multiple Choice,"What does onsuspend handle?",Suspend event,Stop event,Halt event,Pause event,Suspend event,"onsuspend handles suspend events."
HTML,BASIC,Multiple Choice,"Which attribute handles time update?",ontimeupdate,timeupdate,time,progress,ontimeupdate,"ontimeupdate handles time update events."
HTML,BASIC,Multiple Choice,"What does onvolumechange handle?",Volume change,Sound change,Audio change,Level change,Volume change,"onvolumechange handles volume change events."
HTML,BASIC,Multiple Choice,"Which attribute handles waiting?",onwaiting,waiting,wait,pause,onwaiting,"onwaiting handles waiting events."
HTML,BASIC,Multiple Choice,"What does onanimationend handle?",Animation end,Anim end,Effect end,Motion end,Animation end,"onanimationend handles CSS animation end."
HTML,BASIC,Multiple Choice,"Which attribute handles animation iteration?",onanimationiteration,animationiteration,animiteration,repeat,onanimationiteration,"onanimationiteration handles animation repetition."
HTML,BASIC,Multiple Choice,"What does onanimationstart handle?",Animation start,Anim begin,Effect start,Motion start,Animation start,"onanimationstart handles CSS animation start."
HTML,BASIC,Multiple Choice,"Which attribute handles transition end?",ontransitionend,transitionend,transend,end,ontransitionend,"ontransitionend handles CSS transition end."
HTML,BASIC,Multiple Choice,"What does ontouchcancel handle?",Touch cancel,Touch interrupt,Cancel event,Stop touch,Touch cancel,"ontouchcancel handles interrupted touch events."
HTML,BASIC,Multiple Choice,"Which attribute handles touch end?",ontouchend,touchend,touch,end,ontouchend,"ontouchend handles touch end events."
HTML,BASIC,Multiple Choice,"What does ontouchmove handle?",Touch move,Touch drag,Finger move,Slide event,Touch move,"ontouchmove handles touch move events."
HTML,BASIC,Multiple Choice,"Which attribute handles touch start?",ontouchstart,touchstart,touch,begin,ontouchstart,"ontouchstart handles touch start events."
HTML,BASIC,Multiple Choice,"What does oncontextmenu handle?",Context menu,Right-click menu,Popup menu,Menu event,Context menu,"oncontextmenu handles context menu events."
HTML,BASIC,Multiple Choice,"Which attribute handles show?",onshow,show,display,visible,onshow,"onshow handles show events."
HTML,BASIC,Multiple Choice,"What does ontoggle handle?",Toggle event,Switch event,Change event,Open/close event,Toggle event,"ontoggle handles toggle events."
HTML,BASIC,Multiple Choice,"Which attribute handles close?",onclose,close,shut,end,onclose,"onclose handles close events."
HTML,BASIC,Multiple Choice,"What does oncancel handle?",Cancel event,Stop event,Abort event,End event,Cancel event,"oncancel handles cancel events."
HTML,BASIC,Multiple Choice,"Which attribute handles sort?",onsort,sort,order,arrange,onsort,"onsort handles sort events."
HTML,BASIC,Multiple Choice,"What does onafterprint handle?",After print,Print done,Printed,Print complete,After print,"onafterprint handles after print events."
HTML,BASIC,Multiple Choice,"Which attribute handles before print?",onbeforeprint,beforeprint,print,ready,onbeforeprint,"onbeforeprint handles before print events."
HTML,BASIC,Multiple Choice,"What does onhashchange handle?",Hash change,URL change,Anchor change,Location change,Hash change,"onhashchange handles URL hash changes."
HTML,BASIC,Multiple Choice,"Which attribute handles message?",onmessage,message,receive,get,onmessage,"onmessage handles message events."
HTML,BASIC,Multiple Choice,"What does onoffline handle?",Offline event,Disconnect event,No internet,Network loss,Offline event,"onoffline handles offline events."
HTML,BASIC,Multiple Choice,"Which attribute handles online?",ononline,online,connect,internet,ononline,"ononline handles online events."
HTML,BASIC,Multiple Choice,"What does onpagehide handle?",Page hide,Leave page,Exit page,Navigate away,Page hide,"onpagehide handles page hide events."
HTML,BASIC,Multiple Choice,"Which attribute handles pageshow?",onpageshow,pageshow,enter,arrive,onpageshow,"onpageshow handles page show events."
HTML,BASIC,Multiple Choice,"What does onpopstate handle?",Pop state,History state,Back/forward,Navigation state,Pop state,"onpopstate handles history state changes."
HTML,BASIC,Multiple Choice,"Which attribute handles storage?",onstorage,storage,save,store,onstorage,"onstorage handles storage events."
HTML,BASIC,Multiple Choice,"What does onundo handle?",Undo event,Reverse event,Back event,Retract event,Undo event,"onundo handles undo events."
HTML,BASIC,Multiple Choice,"Which attribute handles redo?",onredo,redo,repeat,again,onredo,"onredo handles redo events."
HTML,BASIC,Multiple Choice,"What does onlanguagechange handle?",Language change,Locale change,Text change,Translation change,Language change,"onlanguagechange handles language changes."
HTML,BASIC,Multiple Choice,"Which attribute handles orientation change?",onorientationchange,orientationchange,rotate,turn,onorientationchange,"onorientationchange handles orientation changes."
HTML,BASIC,Multiple Choice,"What does ondevicemotion handle?",Device motion,Movement event,Acceleration event,Motion sensor,Device motion,"ondevicemotion handles device motion events."
HTML,BASIC,Multiple Choice,"Which attribute handles device orientation?",ondeviceorientation,deviceorientation,orientation,rotate,ondeviceorientation,"ondeviceorientation handles device orientation."
HTML,BASIC,Multiple Choice,"What does ongamepadconnected handle?",Gamepad connect,Controller connect,Joystick connect,Input connect,Gamepad connect,"ongamepadconnected handles gamepad connection."
HTML,BASIC,Multiple Choice,"Which attribute handles gamepad disconnect?",ongamepaddisconnected,gamepaddisconnected,controller,disconnect,ongamepaddisconnected,"ongamepaddisconnected handles gamepad disconnection."
HTML,BASIC,Multiple Choice,"What does onvrdisplayconnect handle?",VR display connect,Virtual reality connect,VR connect,Display connect,VR display connect,"onvrdisplayconnect handles VR display connection."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display disconnect?",onvrdisplaydisconnect,vrdisplaydisconnect,vr,disconnect,onvrdisplaydisconnect,"onvrdisplaydisconnect handles VR display disconnection."
HTML,BASIC,Multiple Choice,"What does onvrdisplaypresentchange handle?",VR presentation change,VR display change,Present change,VR mode change,VR presentation change,"onvrdisplaypresentchange handles VR presentation changes."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display activate?",onvrdisplayactivate,vrdisplayactivate,vr,activate,onvrdisplayactivate,"onvrdisplayactivate handles VR display activation."
HTML,BASIC,Multiple Choice,"What does onvrdisplaydeactivate handle?",VR deactivate,VR display off,Deactivate event,VR disable,VR deactivate,"onvrdisplaydeactivate handles VR display deactivation."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display blur?",onvrdisplayblur,vrdisplayblur,vr,blur,onvrdisplayblur,"onvrdisplayblur handles VR display blur events."
HTML,BASIC,Multiple Choice,"What does onvrdisplayfocus handle?",VR display focus,VR focus,Display focus,VR attention,VR display focus,"onvrdisplayfocus handles VR display focus events."
HTML,BASIC,Multiple Choice,"Which attribute handles pointer lock change?",onpointerlockchange,pointerlockchange,pointer,lock,onpointerlockchange,"onpointerlockchange handles pointer lock changes."
HTML,BASIC,Multiple Choice,"What does onpointerlockerror handle?",Pointer lock error,Lock error,Pointer error,Input error,Pointer lock error,"onpointerlockerror handles pointer lock errors."
HTML,BASIC,Multiple Choice,"Which attribute handles ready state change?",onreadystatechange,readystatechange,ready,state,onreadystatechange,"onreadystatechange handles ready state changes."
HTML,BASIC,Multiple Choice,"What does onvisibilitychange handle?",Visibility change,View change,Visible state,Display state,Visibility change,"onvisibilitychange handles visibility changes."
HTML,BASIC,Multiple Choice,"Which element creates a checkbox?",<checkbox>,"<input type=""checkbox"">",<check>,<input checkbox>,"<input type=""checkbox"">","Checkboxes are created with <input type=""checkbox"">."
HTML,BASIC,Multiple Choice,"What does <input type='radio'> create?",Radio button,Radio input,Selection button,Option button,Radio button,"Radio buttons are created with type='radio'."
HTML,BASIC,Multiple Choice,"Which input type creates a password field?",password,text,secret,hidden,password,"Password fields hide input with type='password'."
HTML,BASIC,Multiple Choice,"What does <input type='email'> validate?",Email format,Email address,Email domain,Mail format,Email address,"Email input validates email address format."
HTML,BASIC,Multiple Choice,"Which input type creates a number field?",number,numeric,integer,digit,number,"Number fields accept numeric input with type='number'."
HTML,BASIC,Multiple Choice,"What does <input type='tel'> accept?",Telephone number,Phone input,Call number,Contact number,Telephone number,"Tel input accepts telephone numbers."
HTML,BASIC,Multiple Choice,"Which input type creates a URL field?",url,link,website,address,url,"URL input accepts web addresses."
HTML,BASIC,Multiple Choice,"What does <input type='search'> create?",Search field,Find input,Query field,Lookup field,Search field,"Search input creates search fields."
HTML,BASIC,Multiple Choice,"Which input type creates a date picker?",date,calendar,day,time,date,"Date input creates date selection controls."
HTML,BASIC,Multiple Choice,"What does <input type='time'> create?",Time picker,Clock input,Hour input,Minute input,Time picker,"Time input creates time selection controls."
HTML,BASIC,Multiple Choice,"Which input type creates color picker?",color,colour,picker,hex,color,"Color input creates color selection controls."
HTML,BASIC,Multiple Choice,"What does <input type='range'> create?",Slider control,Range selector,Value slider,Number slider,Slider control,"Range input creates sliders."
HTML,BASIC,Multiple Choice,"Which input type creates file upload?",file,upload,document,attachment,file,"File input creates file upload controls."
HTML,BASIC,Multiple Choice,"What does <input type='submit'> create?",Submit button,Form submit,Send button,Process button,Submit button,"Submit input creates form submission buttons."
HTML,BASIC,Multiple Choice,"Which input type creates reset button?",reset,clear,undo,delete,reset,"Reset input creates form reset buttons."
HTML,BASIC,Multiple Choice,"What does <input type='image'> create?",Image submit button,Picture button,Graphic button,Photo button,Image submit button,"Image input creates image-based submit buttons."
HTML,BASIC,Multiple Choice,"Which input type creates hidden field?",hidden,invisible,secret,concealed,hidden,"Hidden input creates invisible form fields."
HTML,BASIC,Multiple Choice,"What does <input type='month'> create?",Month picker,Month selector,Calendar month,Date month,Month picker,"Month input selects month and year."
HTML,BASIC,Multiple Choice,"Which input type creates week picker?",week,weeknum,weekselector,calendarweek,week,"Week input selects week and year."
HTML,BASIC,Multiple Choice,"What does <input type='datetime-local'> create?",Local datetime,Date and time,Timestamp,Calendar time,Local datetime,"Datetime-local selects local date and time."
HTML,BASIC,Multiple Choice,"Which attribute specifies image map?",usemap,map,imagemap,areamap,usemap,"usemap specifies client-side image map."
HTML,BASIC,Multiple Choice,"What does ismap attribute do?",Server-side image map,Image mapping,Map server,Server map,Server-side image map,"ismap indicates server-side image map."
HTML,BASIC,Multiple Choice,"Which attribute specifies download?",download,save,get,store,download,"download suggests download rather than navigation."
HTML,BASIC,Multiple Choice,"What does ping attribute do?",Tracks clicks,Notification URLs,Ping servers,Alert tracking,Tracks clicks,"ping specifies URLs to notify when link followed."
HTML,BASIC,Multiple Choice,"Which attribute specifies link language?",hreflang,language,lang,locale,hreflang,"hreflang specifies language of linked document."
HTML,BASIC,Multiple Choice,"What does media attribute specify?",Media/device type,Media query,Device target,Screen type,Media/device type,"media specifies media/device optimization."
HTML,BASIC,Multiple Choice,"Which attribute specifies async script?",async,defer,load,execute,async,"async loads script asynchronously."
HTML,BASIC,Multiple Choice,"What does defer attribute do?",Defers script execution,Delays script,Postpones loading,Waits for load,Defers script execution,"defer delays script until page parsed."
HTML,BASIC,Multiple Choice,"Which attribute specifies crossorigin?",crossorigin,cross,origin,domain,crossorigin,"crossorigin handles cross-origin requests."
HTML,BASIC,Multiple Choice,"What does integrity attribute do?",Subresource integrity,Script integrity,Hash check,Security check,Subresource integrity,"integrity verifies resource integrity with hash."
HTML,BASIC,Multiple Choice,"Which attribute specifies referrer policy?",referrerpolicy,referrer,policy,security,referrerpolicy,"referrerpolicy controls referrer information."
HTML,BASIC,Multiple Choice,"What does srcdoc attribute specify?",Iframe HTML content,Source document,Inline HTML,Frame content,Iframe HTML content,"srcdoc specifies inline HTML for iframe."
HTML,BASIC,Multiple Choice,"Which attribute controls iframe loading?",loading,load,eager,lazy,loading,"loading controls iframe loading behavior."
HTML,BASIC,Multiple Choice,"What does decoding attribute do?",Controls image decoding,Decode method,Image processing,Render decoding,Controls image decoding,"decoding controls image decoding method."
HTML,BASIC,Multiple Choice,"Which attribute specifies fetch priority?",fetchpriority,priority,loadpriority,importance,fetchpriority,"fetchpriority specifies resource fetch priority."
HTML,BASIC,Multiple Choice,"What does sizes attribute specify?",Image sizes for layout,Size dimensions,Responsive sizes,Media sizes,Image sizes for layout,"sizes specifies image sizes for different layouts."
HTML,BASIC,Multiple Choice,"Which attribute specifies srcset?",srcset,src,sources,images,srcset,"srcset specifies multiple image sources."
HTML,BASIC,Multiple Choice,"What does poster attribute do?",Video poster image,Video thumbnail,Preview image,Video cover,Video poster image,"poster specifies image to show while video loads."
HTML,BASIC,Multiple Choice,"Which attribute controls video preload?",preload,load,before,prepare,preload,"preload controls video preloading."
HTML,BASIC,Multiple Choice,"What does controls attribute do?",Shows video controls,Control buttons,Player controls,Media controls,Shows video controls,"controls displays video player controls."
HTML,BASIC,Multiple Choice,"Which attribute loops media?",loop,repeat,cycle,again,loop,"loop makes media play repeatedly."
HTML,BASIC,Multiple Choice,"What does muted attribute do?",Mutes audio,Silences media,Turns off sound,Disables audio,Mutes audio,"muted mutes audio output."
